,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
434,,Sudan,2021-07-30,810560,627833.0,182727.0,2021/07/30,729.0
435,,Suriname,2021-07-30,242696,186012.0,56684.0,2021/07/30,740.0
436,,Sweden,2021-07-30,10565358,6365362.0,4118142.0,2021/07/30,752.0
437,,Syria,2021-07-30,131221,121909.0,9312.0,2021/07/30,760.0
438,,Taiwan*,2021-07-30,7826972,7484172.0,342800.0,2021/07/30,158.0
439,,Thailand,2021-07-30,17011477,12307788.0,3652990.0,2021/07/30,764.0
440,,Togo,2021-07-30,454208,304278.0,149930.0,2021/07/30,768.0
441,,Trinidad and Tobago,2021-07-30,565499,376226.0,189273.0,2021/07/30,780.0
442,,Tunisia,2021-07-30,2663438,1699805.0,963633.0,2021/07/30,788.0
443,,Turkey,2021-07-30,72591567,40661999.0,26437993.0,2021/07/30,792.0
444,,US,2021-07-30,344071595,189945907.0,163868916.0,2021/07/30,840.0
445,,US (Aggregate),2021-07-30,343123153,189945907.0,163868916.0,2021/07/30,840.0
446,,Uganda,2021-07-30,1143763,1135036.0,4129.0,2021/07/30,800.0
447,,Ukraine,2021-07-30,5376124,3437629.0,1938495.0,2021/07/30,804.0
448,Cherkasy Oblast,Ukraine,2021-07-30,184273,,,2021/07/30,80401.0
449,Chernihiv Oblast,Ukraine,2021-07-30,146820,,,2021/07/30,80402.0
450,Chernivtsi Oblast,Ukraine,2021-07-30,91072,,,2021/07/30,80403.0
451,Dnipropetrovsk Oblast,Ukraine,2021-07-30,440229,,,2021/07/30,80405.0
452,Donetsk Oblast,Ukraine,2021-07-30,205616,,,2021/07/30,80406.0
453,Ivano-Frankivsk Oblast,Ukraine,2021-07-30,126425,,,2021/07/30,80407.0
454,Kharkiv Oblast,Ukraine,2021-07-30,319990,,,2021/07/30,80408.0
455,Kherson Oblast,Ukraine,2021-07-30,130641,,,2021/07/30,80409.0
456,Khmelnytskyi Oblast,Ukraine,2021-07-30,166518,,,2021/07/30,80410.0
457,Kiev,Ukraine,2021-07-30,815643,,,2021/07/30,80411.0
458,Kiev Oblast,Ukraine,2021-07-30,351902,,,2021/07/30,80412.0
459,Kirovohrad Oblast,Ukraine,2021-07-30,105942,,,2021/07/30,80413.0
460,Luhansk Oblast,Ukraine,2021-07-30,90391,,,2021/07/30,80414.0
461,Lviv Oblast,Ukraine,2021-07-30,339872,,,2021/07/30,80415.0
462,Mykolaiv Oblast,Ukraine,2021-07-30,170165,,,2021/07/30,80416.0
463,Odessa Oblast,Ukraine,2021-07-30,241251,,,2021/07/30,80417.0
464,Poltava Oblast,Ukraine,2021-07-30,264640,,,2021/07/30,80418.0
465,Rivne Oblast,Ukraine,2021-07-30,126404,,,2021/07/30,80419.0
466,Sumy Oblast,Ukraine,2021-07-30,148126,,,2021/07/30,80421.0
467,Ternopil Oblast,Ukraine,2021-07-30,119246,,,2021/07/30,80422.0
468,Vinnytsia Oblast,Ukraine,2021-07-30,228382,,,2021/07/30,80423.0
469,Volyn Oblast,Ukraine,2021-07-30,100099,,,2021/07/30,80424.0
470,Zakarpattia Oblast,Ukraine,2021-07-30,120321,,,2021/07/30,80425.0
471,Zaporizhia Oblast,Ukraine,2021-07-30,171550,,,2021/07/30,80426.0
472,Zhytomyr Oblast,Ukraine,2021-07-30,170606,,,2021/07/30,80427.0
473,,United Arab Emirates,2021-07-30,16738830,7743985.0,6913213.0,2021/07/30,784.0
474,,United Kingdom,2021-07-30,85233026,46733115.0,37782252.0,2021/07/30,826.0
475,Anguilla,United Kingdom,2021-07-30,18001,,,2021/07/30,660.0
476,Bermuda,United Kingdom,2021-07-30,82468,,,2021/07/30,60.0
477,Cayman Islands,United Kingdom,2021-07-30,97196,,,2021/07/30,136.0
478,England,United Kingdom,2021-07-30,70796035,,,2021/07/30,82601.0
479,Falkland Islands (Malvinas),United Kingdom,2021-07-30,4407,,,2021/07/30,238.0
480,Gibraltar,United Kingdom,2021-07-30,78406,,,2021/07/30,292.0
481,Isle of Man,United Kingdom,2021-07-30,123254,,,2021/07/30,833.0
482,Montserrat,United Kingdom,2021-07-30,2730,,,2021/07/30,500.0
483,Northern Ireland,United Kingdom,2021-07-30,2239652,,,2021/07/30,82602.0
484,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-07-30,7892,,,2021/07/30,654.0
485,Scotland,United Kingdom,2021-07-30,7150438,,,2021/07/30,82603.0
486,Wales,United Kingdom,2021-07-30,4329242,,,2021/07/30,82604.0
487,,Uruguay,2021-07-30,4773242,2557037.0,2205865.0,2021/07/30,858.0
488,,Uzbekistan,2021-07-30,6007782,3667979.0,1023425.0,2021/07/30,860.0
489,,Venezuela,2021-07-30,4000000,2900000.0,1100000.0,2021/07/30,862.0
490,,Vietnam,2021-07-30,5529898,4983496.0,546402.0,2021/07/30,704.0
491,,World,2021-07-30,4035873207,2150704887.0,1103030036.0,2021/07/30,
492,,Zambia,2021-07-30,413774,283481.0,130293.0,2021/07/30,894.0
493,,Zimbabwe,2021-07-30,2275416,1562285.0,713131.0,2021/07/30,716.0
