Date,Total-Cumulative-Cases,ObjectId,New-Cases,PCR,Recovered,Deaths,Daily-Positive-%age,Country,RDT,Local Transmissions,Imported Cases,GlobalID,Cum-Deaths,Cum-Recovery,CFR%
7/28/2020 12:00:00 AM,2817,56,113,1169,62,4,9.66638152266895,,,,,6acb6adf-c3e0-4fb8-8822-d56d7b25547f,40,887,
7/29/2020 12:00:00 AM,2879,57,62,1791,283,1,3.46175321049693,,68917,1837,1042,2d2ecd0d-6873-4e0c-99d9-d70012c017a8,41,924,
11/10/2020 12:00:00 AM,,58,,,,,,,,,,613f47fd-863e-4d1f-9243-991e86239f77,,,
7/30/2020 12:00:00 AM,3092,59,213,1340,37,12,15.8955223880597,,1851,205,8,ad61d844-a2f0-4949-aa96-5022046ae139,53,1004,
11/11/2020 12:00:00 AM,,60,,,,,,,,,,9a92eff8-e932-4d82-a93d-fec045fecd7c,,,
11/12/2020 12:00:00 AM,,61,,,,,,,,,,ed2428a4-4107-4766-9467-6ea76adceade,,,
7/31/2020 12:00:00 AM,3169,62,77,1001,80,14,7.69230769230769,,135,67,10,2a614574-e500-47e2-bc4f-d228d2b16bb7,67,1011,
8/1/2020 12:00:00 AM,3659,63,490,1445,7,2,33.9100346020761,,55,485,5,7e5d26d2-e74a-4f8d-9898-fec0a56ce7d8,69,1016,
11/13/2020 12:00:00 AM,,64,,,,,,,,,,c26d8777-9fca-4977-9e08-6632bcef0286,,,
11/14/2020 12:00:00 AM,,65,,,,,,,,,,673eea0d-a201-497e-989a-201b357acd17,,,
8/2/2020 12:00:00 AM,3921,66,262,1608,5,1,16.2935323383085,,66,234,28,3bc64450-43c7-40c2-86bf-ba868e477320,70,1057,
8/3/2020 12:00:00 AM,4075,67,154,1449,41,10,10.6280193236715,,2150,154,,d4c6755a-c43c-4eb4-ab19-2a406ad489bc,80,1238,
11/15/2020 12:00:00 AM,,68,,,,,,,,,,e68a299a-8b08-48d3-b5c2-9110417c146e,,,
11/16/2020 12:00:00 AM,,69,,,,,,,,,,32463729-e2f0-462b-b994-bceb8ee5e5de,,,
8/4/2020 12:00:00 AM,4221,70,146,1080,181,1,13.5185185185185,,1533,146,0,b97fbe7c-ca32-41e1-a393-8bbb56f5703b,81,1264,
