Date,Total_Cumulative_Cases,New_Cases,PCR,Recovered,Deaths,Daily_Positive__age,Country,RDT,Local_Transmissions,Imported_Cases,Cum_Deaths,Cum_Recovery,CFR_,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,active_cases,hospitalized_case,condition_mild_to_moderate,condition_severe,condition_ICU,key_notes,asymptomatic,total_vaccinated
2020/11/19 10:50:00,"9046","65","1123","11","4",5.788067676,Zimbabwe,0,65,"0","265","8195",0,"1506",d55e379e-9626-4fc7-865a-108fe816c9ef,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"586","0","0","0","0",,"0","0"
2020/12/15 10:41:00,"11522","164","559","45","1",29.33810376,Zimbabwe,0,164,"0","310","9599",0,"1507",bf226e60-1436-4f66-ba72-10d019a2fcc1,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"1613","0","0","0","0",,"0","0"
2020/04/07 02:00:00,"10","0","0","0","1",0,Zimbabwe,0,0,"0","2","0",0,"1508",73fe46a7-2770-4eca-a3b1-113b1b20796f,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"8","0","0","0","0",,"0","0"
2020/08/19 02:00:00,"5643","265","1618","337","9",16.37824475,Zimbabwe,0,254,"11","150","4442",0,"1509",48e38559-7c06-4d90-bdc8-11caa3951a5b,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"1051","0","0","0","0",,"0","0"
2021/01/27 23:57:00,"32304","300","3666","274","19",8.183306056,zimbabwe,0,300,"0","1122","23687",0,"1510",b5c98441-6f49-4912-8314-128e04d5f248,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"7495","205","127","65","13",,"0","0"
2021/02/07 00:54:00,"34487","156","2086","238","13",7.478427613,"zimbabwe
",0,156,"0","1316","28383",0,"1511",bc4fbc7c-e0f8-4e53-8bf5-1376be5ae19b,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"4788","90","63","17","6","Among the hospitalized cases, only 4 were asymptomatic. 11 deaths occurred at Institutional level and the remaining two were at community level .","4","0"
2020/09/08 02:00:00,"7388","90","521","22","8",17.27447217,Zimbabwe,0,90,"0","218","5477",0,"1512",27757d35-025c-4b14-ae10-16073a3f1929,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"1693","0","0","0","0",,"0","0"
2020/07/14 02:00:00,"1064","30","693","52","1",4.329004329,Zimbabwe,0,0,"0","20","343",0,"1513",b109442a-96f0-4f3a-84a6-162a1d66ed94,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"701","0","0","0","0",,"0","0"
2020/09/06 02:00:00,"7116","139","665","13","1",20.90225564,Zimbabwe,0,139,"0","208","5373",0,"1514",c2d1cf20-501b-4e56-866a-16e7a7543720,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"1535","0","0","0","0",,"0","0"
2021/02/28 23:18:00,"36089","31","914","76","0",3.391684902,"zimbabwe
",0,31,"0","1463","32666",0,"1515",506c5c71-f6c6-4b34-9ebc-185ebf266e81,2021/03/22 10:57:26,surveyor_jr,2021/03/22 10:57:26,surveyor_jr,"1960","135","52","4","9",,"70","18843"
