,objectid,globalid,reportDate,newRecordsInfo,pcr_newBulawayo,pcr_newHarare,pcr_newManicaland,pcr_newMashCentral,pcr_newMashEast,pcr_newMashWest,pcr_newMidlands,pcr_newMasvingo,pcr_newMatNorth,pcr_newMatSouth,case_newBulawayo,case_newHarare,case_newManicaland,case_newMashCentral,case_newMashEast,case_newMashWest,case_newMidlands,case_newMasvingo,case_newMatNorth,case_newMatSouth,recov_newBulawayo,recov_newHarare,recov_newManicaland,recov_newMashCentral,recov_newMashEast,recov_newMashWest,recov_newMidlands,recov_newMasvingo,recov_newMatNorth,recov_newMatSouth,death_newBulawayo,death_newHarare,death_newManicaland,death_newMashCentral,death_newMashEast,death_newMashWest,death_newMidlands,death_newMasvingo,death_newMatNorth,death_newMatSouth,totalHelpInfo,case_totalBulawayo,case_totalHarare,case_totalManicaland,case_totalMashCentral,case_totalMashEast,case_totalMashWest,case_totalMidlands,case_totalMasvingo,case_totalMatNorth,case_totalMatSouth,recov_totalBulawayo,recov_totalHarare,recov_totalManicaland,recov_totalMashCentral,recov_totalMashEast,recov_totalMashWest,recov_totalMidlands,recov_totalMasvingo,recov_totalMatNorth,recov_totalMatSouth,active_totalBulawayo,active_totalHarare,active_totalManicaland,active_totalMashCentral,active_totalMashEast,active_totalMashWest,active_totalMidlands,active_totalMasvingo,active_totalMatNorth,active_totalMatSouth,death_totalBulawayo,death_totalHarare,death_totalManicaland,death_totalMashCentral,death_totalMashEast,death_totalMashWest,death_totalMidlands,death_totalMasvingo,death_totalMatNorth,death_totalMatSouth,reportStatus,didNotReport,CreationDate,Creator,EditDate,Editor,SHAPE
90,91,5488c12f-31c4-44aa-867c-7e86be9b0552,2021-10-07 10:00:00,,897,2536,376,301,0,276,249,267,336,174,5,5,30,2,11,3,4,16,4,9,7,2,42,52,72,0,0,46,104,29,0,0,0,0,0,0,0,1,0,0,,13186,27472,13985,8452,14124,16323,10158,10770,7887,9166,12303,25921,13083,8145,13316,15750,9580,10313,7436,8838,157,57,447,52,464,82,174,277,352,145,726,1494,455,255,344,491,404,180,99,183,yes,,2021-10-08 06:50:41.918999910,surveyor_jr,2021-10-08 06:50:41.918999910,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
91,92,7b410645-382d-4c06-834d-c2e05af480a3,2021-10-08 10:00:00,,273,1344,349,158,356,153,165,398,177,307,17,11,16,0,10,4,5,34,85,0,6,11,44,10,0,1,43,0,36,0,0,2,0,1,0,0,0,0,0,0,,13203,27483,14001,8452,14134,16327,10163,10804,7972,9166,12309,25932,13127,8185,13316,15751,9623,10313,7472,8838,168,55,419,11,474,85,136,311,401,145,726,1496,455,256,344,491,404,180,99,183,yes,,2021-10-11 06:38:19.187000036,surveyor_jr,2021-10-11 06:38:19.187000036,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
92,93,5a19575b-095e-47e3-8113-db641c12b7e8,2021-10-09 10:00:00,,425,1766,203,60,133,0,179,148,545,0,2,3,15,0,5,17,0,11,4,0,12314,25937,13127,8195,13316,15768,9623,10390,7519,8838,0,1,0,0,0,1,0,0,0,0,,13205,27486,14016,8452,14139,16344,10163,10815,7976,9166,12314,25937,13127,8195,13316,15768,9623,10390,7519,8838,165,52,434,1,479,84,136,245,358,145,726,1497,455,256,344,492,404,180,99,183,yes,,2021-10-11 06:43:10.269999981,surveyor_jr,2021-10-11 06:43:10.269999981,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
93,94,aeeef88c-8b1e-4fb0-8c27-29f36fa26271,2021-10-10 10:00:00,,205,1016,165,18,155,69,26,181,14,13,3,5,13,1,2,1,0,5,4,0,9,11,120,1,6,0,0,28,26,0,0,0,0,0,0,0,0,1,0,0,,13208,27491,14029,8453,14141,16345,10163,10820,7980,9166,12323,25948,13247,8196,13322,15768,9623,10418,7545,8838,159,46,327,1,475,85,136,221,336,145,726,1497,455,256,344,492,404,181,99,183,yes,,2021-10-11 06:47:38.346999884,surveyor_jr,2021-10-11 06:47:38.346999884,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
94,95,57ce813f-6b50-4d00-8668-6db5c5523890,2021-10-11 10:00:00,,456,1297,400,192,0,503,355,206,568,42,7,6,6,6,14,0,13,8,15,4,10,6,42,0,51,5,64,10,36,27,0,5,0,1,0,0,0,0,0,0,,13215,27497,14035,8459,14155,16345,10176,10828,7995,9170,12333,25954,13289,8196,13373,15773,9687,10428,7581,8865,156,41,291,6,438,80,85,219,315,122,726,1502,455,257,344,492,404,181,99,183,yes,,2021-10-12 06:48:48.829999924,surveyor_jr,2021-10-12 06:48:48.829999924,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
95,96,3bda5e08-feec-436f-8b22-3c7c055f9201,2021-10-13 10:00:00,,315,2432,867,230,635,71,508,362,776,50,5,8,13,0,19,1,6,15,23,2,10,8,7,0,0,0,43,13,45,23,0,2,0,1,0,0,0,0,0,0,,13223,27511,14111,8462,14184,16354,10191,10864,8032,9176,12348,25962,13297,8196,13434,15775,9730,10449,7746,8905,149,45,359,7,406,87,57,233,187,88,726,1504,455,259,344,492,404,182,99,183,yes,,2021-10-14 06:03:33.694999933,surveyor_jr,2021-10-14 06:03:33.694999933,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
96,97,41bd43ab-91bf-403d-835f-afc610e85f64,2021-10-12 10:00:00,,262,2274,252,212,179,154,263,371,847,45,3,6,63,3,10,8,9,21,14,4,5,0,1,0,61,2,0,8,120,17,0,0,0,1,0,0,0,1,0,0,,13218,27503,14098,8462,14165,16353,10185,10849,8009,9174,12338,25954,13290,8196,13434,15775,9687,10436,7701,8882,154,47,353,8,387,86,94,231,209,109,726,1502,455,258,344,492,404,182,99,183,yes,,2021-10-14 06:08:54.637000084,surveyor_jr,2021-10-14 06:08:54.637000084,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
97,98,3d1c3cee-f77d-423d-8afe-78013900f209,2021-10-17 10:00:00,,110,665,145,13,0,14,92,104,81,0,5,0,14,0,0,0,0,9,7,0,19,1,0,2,3,12,0,34,15,9,0,0,0,0,0,0,0,0,1,0,,13235,27540,14179,8463,14197,16361,10201,10906,8098,9188,12404,25992,13412,8198,13444,15791,9763,10565,7779,8960,104,43,307,6,408,78,34,158,219,45,727,1505,460,259,345,492,404,183,100,183,yes,,2021-10-18 06:21:48.207000017,surveyor_jr,2021-10-18 06:21:48.207000017,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
98,99,4fe53adb-1829-4f3b-8c80-e93614bbdb80,2021-10-16 10:00:00,,203,2002,218,23,230,93,0,129,126,39,2,13,14,0,0,2,4,5,4,4,23,8,81,0,0,0,0,52,8,7,1,0,1,0,0,0,0,0,0,0,,13230,27540,14165,8463,14197,16361,10201,10897,8091,9188,12385,25991,13412,8196,13441,15779,9763,10531,7764,8951,118,44,293,8,411,90,34,183,228,54,727,1505,460,259,345,492,404,183,99,183,yes,,2021-10-18 06:26:06.486999989,surveyor_jr,2021-10-18 06:26:06.486999989,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
99,100,8ad5fd6c-6d1c-4944-82c8-35ea5b501a49,2021-10-15 10:00:00,,320,1508,216,72,955,71,173,209,747,161,0,3,11,0,5,3,5,3,3,1,8,12,0,0,0,4,33,0,4,17,0,0,0,0,0,0,0,0,0,0,,13228,27527,14151,8463,14197,16359,10197,10892,8087,9184,12362,25983,13331,8196,13441,15779,9763,10479,7756,8944,140,39,361,8,411,88,30,230,232,57,726,1505,459,259,345,492,404,183,99,183,yes,,2021-10-18 06:30:20.378000021,surveyor_jr,2021-10-18 06:30:20.378000021,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
100,101,aaa49c2f-3255-4463-8d28-eeebe33f8678,2021-10-14 10:00:00,,282,1533,440,381,543,179,374,468,489,18,5,13,29,1,8,2,1,25,52,7,6,9,34,0,7,0,0,30,6,22,0,1,4,0,1,0,0,1,0,0,,13228,27524,14140,8463,14192,16356,10192,10889,8084,9183,12354,25971,13331,8196,13441,15775,9730,10479,7752,8927,148,48,350,8,406,89,58,227,233,73,726,1505,459,259,345,492,404,183,99,183,yes,,2021-10-18 06:34:31.549000025,surveyor_jr,2021-10-18 06:34:31.549000025,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
101,102,d384693a-72e9-457c-865d-900e14b1c580,2021-10-18 10:00:00,,493,2116,308,189,181,108,80,273,74,17,1,1,10,0,4,2,0,11,7,1,26,4,18,0,73,19,0,11,28,0,0,1,0,0,0,0,0,0,0,0,,13236,27541,14189,8463,14201,16363,10201,10917,8105,9189,12430,25996,13430,8198,13517,15810,9763,10576,7807,8960,79,39,299,6,339,61,34,158,198,46,727,1506,460,259,345,492,404,183,100,183,yes,,2021-10-19 06:47:40.075999975,surveyor_jr,2021-10-19 06:47:40.075999975,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
102,103,f10e93dd-652d-457d-863c-eca48a132652,2021-10-19 10:00:00,,188,1349,177,212,0,107,189,222,496,29,6,4,2,0,1,10,1,3,5,0,3,5,5,0,45,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,,13242,27545,14191,8463,14202,16373,10202,10920,8110,9189,12433,26001,13435,8198,13562,15810,9763,10581,7878,8960,82,38,296,6,295,71,35,156,132,46,727,1506,460,259,345,492,404,183,100,183,yes,,2021-10-20 09:18:54.441999912,surveyor_jr,2021-10-20 09:18:54.441999912,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
103,104,0407889d-623d-42b5-8805-177cf76f929a,2021-10-20 10:00:00,,272,1180,0,122,197,68,194,140,0,21,7,5,3,0,14,0,0,5,14,2,18,4,0,0,0,0,0,8,18,0,1,0,0,0,0,0,0,0,0,0,,13249,27550,14194,8463,14216,16373,10202,10925,8124,9191,12451,26005,13435,8198,13562,15810,9763,10589,7896,8960,70,39,299,6,309,71,35,153,128,48,728,1506,460,259,345,492,404,183,100,183,yes,,2021-10-21 07:01:44.164999962,surveyor_jr,2021-10-21 07:01:44.164999962,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
104,105,eb488e6f-9009-406b-8a92-802354161b5d,2021-10-21 10:00:00,,293,1542,242,114,0,80,132,0,362,16,12,4,6,0,10,0,2,8,11,0,24,4,31,0,9,0,0,21,18,0,1,0,0,0,0,1,0,0,0,0,,13261,27554,14200,8463,14226,16373,10204,10933,8135,9191,12475,26009,13466,8198,13571,15810,9763,10610,7914,8960,57,39,274,6,310,70,37,140,121,48,729,1506,460,259,345,493,404,183,100,183,yes,,2021-10-22 06:47:24.799000025,surveyor_jr,2021-10-22 06:47:24.799000025,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
105,106,f53206e5-b319-40f0-8899-d3fd09ed9804,2021-10-22 10:00:00,,321,1508,452,65,156,55,460,483,322,50,6,3,3,8,10,0,1,11,6,0,10,7,9,0,150,0,0,15,11,0,0,1,0,0,0,0,0,0,0,0,,13267,27557,14203,8471,14236,16373,10205,10944,8141,9191,12485,26016,13475,8198,13721,15810,9763,10625,7925,8960,53,34,268,14,170,70,38,136,116,48,729,1507,460,259,345,493,404,183,100,183,yes,,2021-10-23 07:51:44.914999962,surveyor_jr,2021-10-23 07:51:44.914999962,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
106,107,10fde7d0-f46e-44a3-86fa-f944ecf754bc,2021-10-23 10:00:00,,263,1413,314,20,196,525,57,188,169,38,8,2,11,1,3,0,0,8,2,2,18,0,74,0,0,0,0,25,35,0,2,3,0,0,0,0,0,0,0,0,,13275,27559,14214,8472,14239,16373,10205,10952,8143,9193,12493,26016,13549,8198,13721,15810,9763,10650,7960,8960,51,33,205,15,173,70,38,119,83,50,731,1510,460,259,345,493,404,183,100,183,yes,,2021-10-24 06:15:31.526000023,surveyor_jr,2021-10-24 06:15:31.526000023,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
107,108,0fc62cea-57bc-4dbc-8a3a-4d844832230b,2021-10-24 10:00:00,,97,640,40,1,150,39,58,210,234,26,1,2,4,0,3,0,0,13,0,3,6,5,20,0,74,40,0,3,30,0,0,0,1,0,0,0,0,0,0,0,,13276,27561,14218,8472,14242,16373,10205,10965,8143,9196,12499,26021,13569,8198,13795,15850,9763,10653,7990,8960,46,30,188,15,102,30,38,129,53,53,731,1510,461,259,345,493,404,183,100,183,yes,,2021-10-25 06:32:21.265000105,surveyor_jr,2021-10-25 06:32:21.265000105,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
108,109,beec4a6b-c0d7-4b0d-8237-8cb83c09cdbd,2021-10-25 10:00:00,,445,1462,306,176,0,26,162,534,182,6,4,0,13,1,2,3,0,11,3,0,7,6,29,2,0,0,35,5,51,0,3,1,0,0,0,0,0,0,0,0,,13280,27561,14231,8473,14244,16376,10205,10976,8146,9196,12506,26027,13598,8200,13795,15850,9798,10658,8041,8960,40,23,172,14,104,33,3,135,5,53,734,1511,461,259,345,493,404,183,100,183,yes,,2021-10-26 06:05:30.382999897,surveyor_jr,2021-10-26 06:05:30.382999897,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
109,110,56a90e50-3ef3-4998-8af0-aa450432e8e0,2021-10-26 10:00:00,,155,754,288,164,195,97,248,0,474,37,1,2,4,0,3,1,0,18,2,5,3,6,10,3,14,10,0,9,0,9,0,0,1,0,0,0,0,0,0,0,,13281,27563,14235,8473,14247,16377,10205,10994,8148,9201,12509,26033,13608,8203,13809,15860,9798,10667,8041,8969,38,19,165,11,93,24,3,144,7,49,734,1511,462,259,345,493,404,183,100,183,yes,,2021-10-27 06:36:11.270999908,surveyor_jr,2021-10-27 06:36:11.270999908,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
110,111,d9035352-3da4-48da-8333-dc2f90348abd,2021-10-27 10:00:00,,266,2372,227,93,108,76,283,288,188,129,0,1,48,1,4,0,2,16,12,0,5,0,3,1,3,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,,13281,27564,14283,8474,14251,16377,10207,11010,8160,9201,12514,26033,13611,8204,13812,15860,9798,10678,8041,8969,33,19,210,11,94,24,5,149,19,49,734,1512,462,259,345,493,404,183,100,183,yes,,2021-10-28 06:21:41.644999981,surveyor_jr,2021-10-28 06:21:41.644999981,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
111,112,3b0498ae-952b-4207-854a-47164ba3a9f7,2021-10-29 10:00:00,,264,942,554,91,140,0,240,206,285,18,2,1,33,0,3,0,0,4,3,0,0,3,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,13286,27568,14334,8474,14261,16387,10210,11035,8168,9203,12519,26036,13627,8206,13812,15860,9798,10740,8041,8969,33,20,245,9,104,34,8,112,27,51,734,1512,462,259,345,493,404,183,100,183,yes,,2021-10-30 19:04:53.759999990,surveyor_jr,2021-10-30 19:04:53.759999990,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
112,113,85795c06-2af2-4e76-81bb-3ebc6113bb74,2021-10-28 10:00:00,,252,1919,660,160,247,154,138,0,401,35,3,3,18,0,7,10,3,21,5,2,5,0,12,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,,13284,27567,14301,8474,14258,16387,10210,11031,8165,9203,12519,26033,13623,8204,13812,15860,9798,10737,8041,8969,31,22,216,11,101,34,8,111,24,51,734,1512,462,259,345,493,404,183,100,183,yes,,2021-10-30 19:10:02.628999949,surveyor_jr,2021-10-30 19:10:02.628999949,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
113,114,45eaf77b-a74a-4eb0-89f7-5076b3ef319a,2021-11-01 10:00:00,,125,1288,240,61,0,31,211,296,285,27,15,1,2,0,7,0,1,3,1,0,1,0,5,0,29,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,,13306,27572,14339,8474,14275,16390,10225,11052,8171,9203,12530,26041,13683,8208,13841,15879,9798,10764,8041,8969,41,19,193,7,89,17,23,105,29,51,735,1512,463,259,345,494,404,183,101,183,yes,,2021-11-02 09:55:55.058000088,surveyor_jr,2021-11-02 09:55:55.058000088,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
114,115,3ada45ad-ed08-457c-8b94-27f82d25fdd7,2021-10-31 10:00:00,,32,459,45,3,0,25,162,156,65,34,4,1,2,0,2,3,0,11,0,0,5,0,34,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,13291,27571,14337,8474,14268,16390,10224,11049,8170,9203,12529,26041,13678,8208,13812,15879,9798,10745,8041,8969,28,18,196,7,111,17,22,121,28,51,734,1512,463,259,345,494,404,183,101,183,yes,,2021-11-02 09:59:59.987999916,surveyor_jr,2021-11-02 09:59:59.987999916,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
115,116,bd893399-4180-44dd-845b-67508602ff27,2021-10-30 10:00:00,,198,1852,85,1146,99,110,106,67,87,5,1,2,1,0,5,0,14,3,2,0,5,5,17,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,,13287,27570,14335,8474,14266,16387,10224,11038,8170,9203,12524,26041,13644,8207,13812,15860,9798,10745,8041,8969,29,17,228,8,109,34,22,110,28,51,734,1512,463,259,345,493,404,183,101,183,yes,,2021-11-02 10:04:38.055999994,surveyor_jr,2021-11-02 10:04:38.055999994,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
116,117,7afc36c4-ad98-4afe-8295-e5ebc75f5e90,2021-11-02 10:00:00,,417,3477,391,277,229,34,441,371,365,73,1,1,9,1,6,1,0,15,0,6,6,0,0,1,0,0,0,8,0,10,2,0,2,0,0,0,0,0,0,0,,13307,27573,14348,8475,14281,16391,10225,11067,8171,9209,12536,26041,13683,8209,13841,15879,9798,10772,8041,8979,34,20,200,7,95,18,23,112,29,47,737,1512,465,259,345,494,404,183,101,183,yes,,2021-11-02 20:25:11.477999926,surveyor_jr,2021-11-02 20:25:11.477999926,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
117,118,6e0a1d37-fd25-470c-8b61-2eb04d33fef6,2021-11-03 10:00:00,,252,417,190,52,304,134,227,454,79,26,1,3,3,0,8,0,1,26,2,0,7,0,2,2,26,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,,13308,27576,14351,8475,14289,16391,10226,11093,8173,9209,12543,26041,13685,8211,13867,15879,9798,10785,8041,8979,28,23,201,5,76,18,24,125,31,47,737,1512,465,259,346,494,404,183,101,183,yes,,2021-11-04 06:44:16.404000044,surveyor_jr,2021-11-04 06:44:16.404000044,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
118,119,a357c7b1-86d3-4087-866e-b60765e55f8a,2021-11-04 10:00:00,,259,1756,266,158,99,42,148,143,221,12,5,1,8,1,3,0,0,1,1,1,12,4,13,0,3,0,0,11,0,4,0,0,0,0,0,1,0,0,0,0,,13313,27577,14359,8476,14292,16391,10226,11094,8174,9210,12555,26045,13698,8211,13870,15879,9798,10796,8041,8983,21,20,196,6,76,17,24,115,32,44,737,1512,465,259,346,495,404,183,101,183,yes,,2021-11-05 06:23:30.719000101,surveyor_jr,2021-11-05 06:23:30.719000101,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
119,120,3b5dde89-2308-4966-8447-81380393e749,2021-11-07 10:00:00,,31,515,158,75,99,37,0,62,106,76,12,1,2,0,1,0,0,3,0,0,4,2,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,,13332,27580,14369,8476,14299,16392,10226,11105,8179,9229,12560,26049,13789,8214,13878,15879,9798,10851,8049,8983,35,19,115,3,75,18,24,71,29,63,737,1512,465,259,346,495,404,183,101,183,yes,,2021-11-08 06:46:00.176000118,surveyor_jr,2021-11-08 06:46:00.176000118,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
120,121,5f168044-0aa4-451f-8d92-b0505f0a7450,2021-11-06 10:00:00,,143,742,61,143,133,23,95,232,229,84,2,0,4,0,2,0,0,7,1,6,0,2,88,2,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,,13320,27579,14367,8476,14298,16392,10226,11102,8179,9229,12556,26047,13789,8214,13878,15879,9798,10838,8044,8983,27,20,113,3,74,18,24,81,34,63,737,1512,465,259,346,495,404,183,101,183,yes,,2021-11-08 06:49:28.180999994,surveyor_jr,2021-11-08 06:49:28.180999994,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
121,122,0ce7538d-9485-47b7-86a8-25ddc55b204e,2021-11-05 10:00:00,,316,1381,144,121,151,313,123,357,250,72,5,2,4,0,4,1,0,1,4,13,1,0,3,1,8,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,,13318,27579,14363,8476,14296,16392,10226,11095,8178,9223,12556,26045,13701,8212,13878,15879,9798,10814,8043,8983,25,22,197,5,72,18,24,98,34,57,737,1512,465,259,346,495,404,183,101,183,yes,,2021-11-08 06:54:25.306999922,surveyor_jr,2021-11-08 06:54:25.306999922,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
122,123,6ea63a5b-b291-48f1-8889-d5291bbf99c3,2021-11-08 10:00:00,,0,1175,280,178,322,30,0,257,0,0,1,4,4,0,6,3,0,0,0,0,2,0,28,0,32,9,0,4,1,0,0,4,0,0,0,1,0,0,0,0,,13333,27584,14373,8476,14305,16395,10226,11105,8179,9229,12562,26049,13817,8214,13910,15888,9798,10855,8050,8983,34,19,91,3,49,11,24,67,28,63,737,1516,465,259,346,495,404,183,101,183,yes,,2021-11-09 06:16:49.005000114,surveyor_jr,2021-11-09 06:16:49.005000114,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
123,124,4e494174-58ec-4771-8f09-25b38090b22e,2021-11-09 10:00:00,,192,1941,289,196,437,76,147,163,0,150,4,0,17,0,1,2,1,5,7,0,3,2,0,0,0,0,14,4,4,0,0,1,0,0,0,0,0,0,0,0,,13337,27584,14390,8476,14306,16397,10227,11110,8186,9229,12565,26051,13817,8214,13910,15888,9812,10859,8054,8983,35,16,108,3,50,13,11,68,31,63,737,1517,465,259,346,495,404,183,101,183,yes,,2021-11-10 06:09:15.448999882,surveyor_jr,2021-11-10 06:09:15.448999882,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
124,125,7fa166df-2d7a-425c-804a-1b055cbbb543,2021-11-10 10:00:00,,173,1568,406,0,220,46,105,396,0,16,3,1,0,0,3,2,1,26,4,20,1,0,12,0,0,0,0,14,2,6,0,0,0,0,2,0,0,1,0,0,,13340,27585,14390,8476,14309,16399,10228,11136,8190,9249,12566,26051,13829,8214,13910,15888,9812,10873,8056,8989,37,17,96,3,51,15,12,79,33,77,737,1517,465,259,348,495,404,184,101,183,yes,,2021-11-11 06:18:28.770999908,surveyor_jr,2021-11-11 06:18:28.770999908,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
125,126,c02b3747-283c-4f75-8069-69b0ca57a9a4,2021-11-11 10:00:00,,210,1149,119,73,282,155,112,240,0,18,1,2,7,0,1,1,0,11,4,0,6,3,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,13341,27587,14397,8476,14310,16400,10228,11147,8194,9249,12572,26054,13846,8214,13910,15888,9812,10890,8056,8989,32,16,86,3,52,16,12,73,37,77,737,1517,465,259,348,495,404,184,101,183,yes,,2021-11-12 07:58:05.868000031,surveyor_jr,2021-11-12 07:58:05.868000031,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
126,127,e6a101e3-94e9-466d-854d-b14e326c7ae7,2021-11-12 10:00:00,,200,1344,135,57,144,75,148,441,0,148,3,2,24,2,2,1,0,19,8,3,1,1,1,0,13,0,0,26,1,0,0,0,0,0,1,0,0,1,0,0,,13344,27589,14421,8478,14312,16401,10228,11166,8202,9252,12573,26055,13847,8214,13910,15888,9812,10916,8057,8989,34,17,109,5,40,17,12,65,44,80,737,1517,465,259,349,495,404,185,101,183,yes,,2021-11-13 06:51:13.095000029,surveyor_jr,2021-11-13 06:51:13.095000029,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
127,128,f4819d42-60b9-4df7-8d89-0d93e5d4e9b1,2021-11-13 10:00:00,,217,1414,64,0,0,0,52,451,0,0,0,0,3,0,2,0,0,16,0,14,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,13344,27589,14424,8478,14314,16401,10228,11182,8202,9266,12577,26057,13847,8214,13923,15888,9812,10917,8057,8989,30,15,112,5,42,17,12,80,44,94,737,1517,465,259,349,495,404,185,101,183,yes,,2021-11-14 05:28:57.019000053,surveyor_jr,2021-11-14 05:28:57.019000053,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
128,129,8776808c-b21e-49b1-8f3b-7274006ce37a,2021-11-14 10:00:00,,224,1834,64,35,0,0,52,451,0,0,0,1,1,0,3,0,0,3,2,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,,13344,27590,14425,8478,14317,16401,10228,11185,8204,9266,12579,26058,13847,8214,13923,15888,9812,10918,8059,8989,28,15,113,5,44,17,12,82,44,94,737,1517,465,259,350,496,404,185,101,183,yes,,2021-11-15 06:45:27.486999989,surveyor_jr,2021-11-15 06:45:27.486999989,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
129,130,a70b614f-4701-4a81-86d3-7aedfb1eb055,2021-11-15 10:00:00,,119,578,146,93,130,54,74,175,76,72,5,12,2,0,1,0,0,11,2,0,0,1,7,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,,13349,27602,14427,8478,14318,16401,10228,11196,8206,9266,12579,26059,13854,8214,13923,15888,9812,10925,8062,8989,33,26,108,5,45,17,12,86,43,94,737,1517,465,259,350,496,404,185,101,183,yes,,2021-11-16 06:20:30.549000025,surveyor_jr,2021-11-16 06:20:30.549000025,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
