PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Manicaland,"4051","3720","194","137","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,225.024505077315,11.0115946957205,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Bulawayo,"5683","5336","223","124","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,466.070780127195,17.323574386429,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Harare,"13095","12102","609","384","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,614.186965294668,27.6007332563402,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1884","1490","23","371","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,251.529671556186,3.07069131942266,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Mat South,"3336","2772","34","530","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,487.7956054529,4.97153794526337,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Masvingo,"3760","2992","75","693","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,253.183308755698,5.05019897783973,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Mash Central,"2643","1760","97","786","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,229.323569222226,8.41633984659702,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Midlands ,"3792","2765","112","915","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,234.807339710862,6.93523788175543,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Mash East,"3383","2521","126","736","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,251.532579156923,9.36834317876806,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Mash West,"6073","2687","183","3105","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,404.420186780461,12.1865460531573,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:13:47,surveyor_jr,,,
Manicaland,"4714","3895","210","609","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,268.956774070604,11.9815279072607,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Bulawayo,"6913","5870","287","756","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,575.758989102805,23.9032011966592,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
Harare,"14723","12561","661","1501","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,693.456648008697,31.1332503113325,2020/10/12 11:40:20,surveyor_jr,2021/07/02 08:12:18,surveyor_jr,,,
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K
Midlands ,545,490,8,47,1614941,7,Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,33.7473629067564,0.495374134411102
Manicaland,379,328,19,32,1752698,3,Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,21.6238051278657,1.08404300113311
Mashonaland Central,155,133,4,18,1152520,4,Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,13.448790476521,0.347065560684413
Masvingo,217,208,2,7,1485090,8,Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,14.6119090425496,0.134671972742393
Mashonaland East,348,304,3,41,1344955,5,Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,25.8744716365975,0.223055789970668
Harare,2544,1962,110,472,2123132,2,Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,119.82297850534,5.18102501398877
Matebeleland South,694,501,6,187,683893,10,Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,101.477862765082,0.877330225634712
Bulawayo,1281,1140,36,105,1200676,1,Bulawayo,ZWE,28.5570798700001,-20.135268971,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,106.689898024113,2.99831095149732
Matebeleland North,114,91,3,20,749017,9,Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,15.2199482788775,0.400524954707303
Mashonaland West,282,84,12,186,1501656,6,Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,18.7792676884719,0.799117773977529
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Matebeleland North,"768","511","7","250","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,99.4636970856469,0.801049909414606,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Matebeleland South,"1746","1235","12","499","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,250.624001122983,1.75466045126942,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Mashonaland Central,"753","332","13","408","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,64.640960677472,0.954430291882137,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Midlands ,"1482","1063","20","399","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,87.495456490361,1.11459180242498,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Masvingo,"1263","806","28","429","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,80.6011756863221,1.61606367290871,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Mashonaland East,"1338","633","29","676","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,93.3116721377295,1.85879824975557,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Mashonaland West,"1038","683","32","323","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,67.2590793097753,1.93120128711236,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Manicaland,"1733","922","70","741","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,95.1105096257313,3.65151326697469,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Bulawayo,"4011","3243","119","649","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,330.397209571941,9.7445105923663,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
Harare,"7345","3154","177","4014","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,319.622143135707,8.33674024978193,2020/10/12 11:40:20,surveyor_jr,2021/01/10 22:28:08,surveyor_jr
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K
Midlands ,"633","602","9","22","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,39.1964783852785,0.55729590121249
