PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K
Midlands ,"591","555","9","27","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,36.5957641796202,0.55729590121249
Manicaland,"471","422","22","27","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,26.8728554491418,1.25520768552255
Mashonaland Central,"196","192","4","0","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,17.0062124735363,0.347065560684413
Masvingo,"230","227","2","1","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,15.4872768653752,0.134671972742393
Mashonaland East,"382","373","4","5","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,28.4024372562651,0.297407719960891
Harare,"3249","2006","121","1122","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,153.028638822268,5.69912751538764
Matebeleland South,"758","587","7","164","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,110.836051838519,1.02355192990716
Bulawayo,"1421","1278","43","100","1200676","1",Bulawayo,ZWE,28.5570798700001,-20.135268971,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,118.349996168825,3.58131585873291
Matebeleland North,"130","122","3","5","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,17.3560813706498,0.400524954707303
Mashonaland West,"323","281","12","30","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,21.5095867495618,0.799117773977529
