PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Bulawayo,4329,3519,150,660,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,360.5468919,12.4929623,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Harare,9672,5066,243,4363,2123132,2,Harare,ZWE,31.05768081,-17.84441145,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,455.5533994,11.44535526,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Manicaland,2499,1197,106,1196,1752698,3,Manicaland,ZWE,32.39631836,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,142.5801821,6.047818848,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Mashonaland Central,1137,534,28,575,1152520,4,Mashonaland Central,ZWE,31.19292775,-16.70276594,6e054a2b-8657-447f-a428-4b280cc7492a,98.65338562,2.429458925,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Mashonaland East,1850,709,46,1095,1344955,5,Mashonaland East,ZWE,31.69323518,-17.98508139,ad275413-3776-48df-972a-5a8bf1f21da8,137.5510705,3.42018878,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Mashonaland West,1239,788,52,399,1501656,6,Mashonaland West,ZWE,29.74738624,-17.20182894,acf3551f-ab04-49c5-b56a-f5262d3d71c3,82.50891016,3.462843687,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Midlands ,1864,1317,28,519,1614941,7,Midlands,ZWE,29.46232819,-18.98245568,540d98b2-0def-430b-b890-0e8f465c17aa,115.4221733,1.73380947,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Masvingo,1675,1174,41,460,1485090,8,Masvingo,ZWE,31.24022633,-20.78869627,1e65b084-330c-488e-89d8-596877afa78a,112.7877772,2.760775441,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Matebeleland North,987,516,7,464,749017,9,Matabeleland North,ZWE,27.39588169,-18.84521821,a58ca9eb-8590-46a7-89c6-f0042e8c7786,131.7727101,0.934558228,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
Matebeleland South,1951,1692,12,247,683893,10,Matabeleland South,ZWE,28.99038805,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,285.278545,1.754660451,10/12/2020 11:40,surveyor_jr,1/16/2021 21:42,surveyor_jr,,,
