PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"3007","1842","33","1132","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,251.529671556186,3.07069131942266,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Mat South,"4567","3761","54","752","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,487.7956054529,4.97153794526337,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Masvingo,"5329","3413","87","1829","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,253.183308755698,5.05019897783973,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Mash Central,"4351","2356","115","1880","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,229.323569222226,8.41633984659702,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Mash East,"5888","2983","138","2767","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,251.532579156923,9.36834317876806,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Midlands ,"5323","2862","174","2287","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,234.807339710862,6.93523788175543,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Manicaland,"6493","4058","229","2206","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,268.956774070604,11.9815279072607,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Mash West,"9722","5970","282","3470","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,404.420186780461,12.1865460531573,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Bulawayo,"8455","6415","340","1700","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,575.758989102805,23.9032011966592,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
Harare,"17291","13272","784","3235","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,693.456648008697,31.1332503113325,2020/10/12 11:40:20,surveyor_jr,2021/07/12 22:49:40,surveyor_jr,,,
