PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1192","667","13","512","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,158.474373745856,1.73560813706498,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Mat South,"2099","1968","17","114","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,306.334470450787,2.48576897263168,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Midlands ,"2343","2216","61","66","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,142.234298342788,2.97224480646661,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Masvingo,"2199","2052","64","83","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,146.186426411867,4.17483115501417,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Mash Central,"1602","1349","72","181","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,137.958560372054,5.63981536112172,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Mash East,"2438","1878","103","457","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,180.675189876241,6.24556211917871,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Mash West,"1922","1336","118","468","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,127.326098653753,7.59161885278652,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Manicaland,"3561","2650","174","737","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,197.295826206226,9.35700274662264,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Bulawayo,"5030","4448","194","388","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,413.433765645353,15.4912732494028,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
Harare,"12166","9987","510","1669","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,568.358444034568,21.195102329954,2020/10/12 11:40:20,surveyor_jr,2021/02/07 21:27:55,surveyor_jr,,,
