PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Bulawayo,"1511","1395","46","70","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,125.845773547568,3.83117510469102,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Harare,"3286","3129","121","36","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,154.771347236064,5.69912751538764,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Manicaland,"494","458","22","14","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,28.1851180294609,1.25520768552255,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Mashonaland Central,"207","202","4","1","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,17.9606427654184,0.347065560684413,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Mashonaland East,"410","394","4","12","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,30.4842912959913,0.297407719960891,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Mashonaland West,"344","306","12","26","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,22.9080428540225,0.799117773977529,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Midlands ,"633","615","9","9","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,39.1964783852785,0.55729590121249,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Masvingo,"233","231","2","0","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,15.6892848244888,0.134671972742393,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Matebeleland North,"140","133","3","4","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,18.6911645530075,0.400524954707303,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
Matebeleland South,"778","769","7","2","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,113.760485923968,1.02355192990716,2020/10/12,surveyor_jr,2020/10/14,surveyor_jr
