PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Matebeleland North,"745","511","6","228","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,99.4636970856469,0.801049909414606,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Mashonaland Central,"745","323","11","411","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,64.640960677472,0.954430291882137,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Matebeleland South,"1714","1175","12","527","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,250.624001122983,1.75466045126942,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Midlands ,"1413","1063","18","332","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,87.495456490361,1.11459180242498,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Masvingo,"1197","790","24","383","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,80.6011756863221,1.61606367290871,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Mashonaland East,"1255","633","25","597","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,93.3116721377295,1.85879824975557,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Mashonaland West,"1010","683","29","298","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,67.2590793097753,1.93120128711236,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Manicaland,"1667","885","64","718","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,95.1105096257313,3.65151326697469,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Bulawayo,"3967","3222","117","628","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,330.397209571941,9.7445105923663,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
Harare,"6786","3154","177","3455","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,319.622143135707,8.33674024978193,2020/10/12 11:40:20,surveyor_jr,2021/01/09 21:17:59,surveyor_jr
