PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1183","625","13","545","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,155.136665789962,1.73560813706498,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:34,surveyor_jr,,,
Mat South,"2085","1961","17","107","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,303.263814661065,2.48576897263168,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:36,surveyor_jr,,,
Midlands ,"2283","1925","49","309","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,140.252801805143,2.97224480646661,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:28,surveyor_jr,,,
Masvingo,"2152","2009","63","80","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,141.876923284111,4.17483115501417,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:30,surveyor_jr,,,
Mash Central,"1586","1301","71","214","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,135.876167007948,5.63981536112172,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:19,surveyor_jr,,,
Mash East,"2419","1850","99","470","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,175.247498986955,6.24556211917871,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:21,surveyor_jr,,,
Mash West,"1899","1336","114","449","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,121.798867383742,7.59161885278652,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:25,surveyor_jr,,,
Manicaland,"3438","2536","167","735","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,194.899520624774,9.35700274662264,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:17,surveyor_jr,,,
Bulawayo,"4906","4302","189","415","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,403.022963730432,15.4912732494028,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:09,surveyor_jr,,,
Harare,"12013","9546","487","1980","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,554.981979452997,21.195102329954,2020/10/12 11:40:20,surveyor_jr,2021/02/03 21:23:12,surveyor_jr,,,
