PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K
Midlands ,539,490,8,41,1614941,7,Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,33.375832305948,0.495374134411102
Manicaland,376,328,19,29,1752698,3,Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,21.4526404434763,1.08404300113311
Mashonaland Central,146,133,4,9,1152520,4,Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,12.6678929649811,0.347065560684413
Masvingo,217,208,2,7,1485090,8,Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,14.6119090425496,0.134671972742393
Mashonaland East,348,289,3,56,1344955,5,Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,25.8744716365975,0.223055789970668
Harare,2541,1962,110,469,2123132,2,Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,119.681677823141,5.18102501398877
Matebeleland South,684,498,6,180,683893,10,Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,100.015645722357,0.877330225634712
Bulawayo,1276,1140,35,101,1200676,1,Bulawayo,ZWE,28.5570798700001,-20.135268971,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,106.273465947516,2.91502453617795
Matebeleland North,114,89,3,22,749017,9,Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,15.2199482788775,0.400524954707303
Mashonaland West,256,84,12,160,1501656,6,Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,17.0478458448539,0.799117773977529
