PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Bulawayo,4154,3349,132,673,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,345.9717692,10.99380682,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Harare,8550,3740,211,4599,2123132,2,Harare,ZWE,31.05768081,-17.84441145,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,402.7069443,9.938147981,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Manicaland,2085,1003,87,995,1752698,3,Manicaland,ZWE,32.39631836,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,118.9594557,4.963775847,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Mashonaland Central,884,409,22,453,1152520,4,Mashonaland Central,ZWE,31.19292775,-16.70276594,6e054a2b-8657-447f-a428-4b280cc7492a,76.70148891,1.908860584,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Mashonaland East,1616,709,31,876,1344955,5,Mashonaland East,ZWE,31.69323518,-17.98508139,ad275413-3776-48df-972a-5a8bf1f21da8,120.1527189,2.30490983,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Mashonaland West,1139,683,32,424,1501656,6,Mashonaland West,ZWE,29.74738624,-17.20182894,acf3551f-ab04-49c5-b56a-f5262d3d71c3,75.84959538,2.130980731,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Midlands ,1615,1103,21,491,1614941,7,Midlands,ZWE,29.46232819,-18.98245568,540d98b2-0def-430b-b890-0e8f465c17aa,100.0036534,1.300357103,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Masvingo,1494,911,34,549,1485090,8,Masvingo,ZWE,31.24022633,-20.78869627,1e65b084-330c-488e-89d8-596877afa78a,100.5999636,2.289423537,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Matebeleland North,889,516,7,366,749017,9,Matabeleland North,ZWE,27.39588169,-18.84521821,a58ca9eb-8590-46a7-89c6-f0042e8c7786,118.6888949,0.934558228,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Matebeleland South,1830,1235,12,583,683893,10,Matabeleland South,ZWE,28.99038805,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,267.5857188,1.754660451,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
