PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Bulawayo,3287,2856,94,337,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,273.7624472,7.82892304,10/12/2020 11:40,surveyor_jr,12/25/2020 20:34,surveyor_jr
Harare,3782,3154,156,472,2123132,2,Harare,ZWE,31.05768081,-17.84441145,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,178.13306,7.347635474,10/12/2020 11:40,surveyor_jr,12/25/2020 20:34,surveyor_jr
Manicaland,841,620,38,183,1752698,3,Manicaland,ZWE,32.39631836,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,47.98316652,2.168086002,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
Mashonaland Central,354,259,5,90,1152520,4,Mashonaland Central,ZWE,31.19292775,-16.70276594,6e054a2b-8657-447f-a428-4b280cc7492a,30.71530212,0.433831951,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
Mashonaland East,657,572,12,73,1344955,5,Mashonaland East,ZWE,31.69323518,-17.98508139,ad275413-3776-48df-972a-5a8bf1f21da8,48.849218,0.89222316,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
Mashonaland West,704,437,14,253,1501656,6,Mashonaland West,ZWE,29.74738624,-17.20182894,acf3551f-ab04-49c5-b56a-f5262d3d71c3,46.88157607,0.93230407,10/12/2020 11:40,surveyor_jr,12/24/2020 20:45,surveyor_jr
Masvingo,575,474,12,89,1485090,8,Masvingo,ZWE,31.24022633,-20.78869627,1e65b084-330c-488e-89d8-596877afa78a,38.71819216,0.808031836,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
Matebeleland North,528,438,3,87,749017,9,Matabeleland North,ZWE,27.39588169,-18.84521821,a58ca9eb-8590-46a7-89c6-f0042e8c7786,70.49239203,0.400524955,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
Matebeleland South,1379,978,10,391,683893,10,Matabeleland South,ZWE,28.99038805,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,201.6397302,1.462217043,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
Midlands ,1041,917,10,114,1614941,7,Midlands,ZWE,29.46232819,-18.98245568,540d98b2-0def-430b-b890-0e8f465c17aa,64.46055924,0.619217668,10/12/2020 11:40,surveyor_jr,12/25/2020 20:35,surveyor_jr
