PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Bulawayo,4196,3408,133,655,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,349.4697987,11.07709324,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Harare,9017,4301,221,4495,2123132,2,Harare,ZWE,31.05768081,-17.84441145,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,424.7027505,10.40915026,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Manicaland,2268,1053,94,1121,1752698,3,Manicaland,ZWE,32.39631836,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,129.4005014,5.363160111,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Mashonaland Central,994,488,24,482,1152520,4,Mashonaland Central,ZWE,31.19292775,-16.70276594,6e054a2b-8657-447f-a428-4b280cc7492a,86.24579183,2.082393364,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Mashonaland East,1733,709,36,988,1344955,5,Mashonaland East,ZWE,31.69323518,-17.98508139,ad275413-3776-48df-972a-5a8bf1f21da8,128.8518947,2.67666948,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Mashonaland West,1189,788,52,349,1501656,6,Mashonaland West,ZWE,29.74738624,-17.20182894,acf3551f-ab04-49c5-b56a-f5262d3d71c3,79.17925277,3.462843687,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Midlands ,1628,1103,21,504,1614941,7,Midlands,ZWE,29.46232819,-18.98245568,540d98b2-0def-430b-b890-0e8f465c17aa,100.8086364,1.300357103,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Masvingo,1551,1011,36,504,1485090,8,Masvingo,ZWE,31.24022633,-20.78869627,1e65b084-330c-488e-89d8-596877afa78a,104.4381149,2.424095509,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Matebeleland North,917,516,7,394,749017,9,Matabeleland North,ZWE,27.39588169,-18.84521821,a58ca9eb-8590-46a7-89c6-f0042e8c7786,122.4271278,0.934558228,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
Matebeleland South,1875,1337,12,526,683893,10,Matabeleland South,ZWE,28.99038805,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,274.1656955,1.754660451,10/12/2020 11:40,surveyor_jr,1/12/2021 21:44,surveyor_jr
