PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Matebeleland North,"479","341","3","135","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,63.5499594802254,0.400524954707303,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Mashonaland Central,"275","242","5","28","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,23.513691736369,0.433831950855517,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Mashonaland East,"597","557","6","34","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,43.1984713243194,0.371759649951114,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Masvingo,"409","328","9","72","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,27.2710744803345,0.538687890969571,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Matebeleland South,"1257","959","9","289","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,181.607356706385,1.31599533845207,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Midlands ,"960","887","10","63","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,58.763756694517,0.619217668013878,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Mashonaland West,"647","406","12","229","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,43.0857666469551,0.799117773977529,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Manicaland,"660","570","32","58","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,36.8004071437293,1.54048215950495,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Bulawayo,"3038","2392","85","561","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,251.27511501854,6.91277247150772,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
Harare,"3544","3154","143","247","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,165.604399538041,6.17012978938662,2020/10/12 11:40:20,surveyor_jr,2020/12/18 00:00:03,surveyor_jr
