PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Matebeleland North,"955","516","7","432","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,118.688894911597,0.934558227650374,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Matebeleland South,"1899","1435","12","452","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,267.585718818587,1.75466045126942,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Midlands ,"1654","1228","22","404","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,100.003653384241,1.23843533602776,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Mashonaland Central,"1052","506","26","520","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,76.7014889112553,1.38826224273765,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Masvingo,"1633","1103","37","493","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,100.599963638567,1.95274360476469,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Mashonaland East,"1807","709","38","1060","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,120.1527188642,2.3049098296969,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Mashonaland West,"1239","788","52","399","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,75.8495953800338,2.13098073060674,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Manicaland,"2335","1082","104","1149","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,118.95945565066,4.10795242534652,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Bulawayo,"4255","3447","139","669","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,345.971769236663,9.99436983832441,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
Harare,"9280","4600","229","4451","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,402.706944269127,8.9019429785807,2020/10/12 11:40:20,surveyor_jr,2021/01/15 21:28:39,surveyor_jr,,,
