PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1197","680","14","503","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,159.275423655271,1.73560813706498,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Mat South,"2105","2033","25","47","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,307.211800676422,2.48576897263168,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Midlands ,"2355","2244","61","50","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,145.516151983261,2.97224480646661,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Masvingo,"2243","2155","65","23","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,148.273841989374,4.17483115501417,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Mash Central,"1626","1480","75","71","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,139.607121785305,5.63981536112172,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Mash East,"2474","1960","107","407","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,182.013524616065,6.24556211917871,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Mash West,"1958","1429","123","406","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,128.458182166888,7.59161885278652,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Manicaland,"3608","2784","184","640","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,204.427688055786,9.35700274662264,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Bulawayo,"5085","4603","198","284","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,419.513673963667,15.4912732494028,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
Harare,"12298","10262","530","1506","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,574.905375643154,21.195102329954,2020/10/12 11:40:20,surveyor_jr,2021/02/11 21:01:35,surveyor_jr,,,
